season,player,mins,goals,assist,second_assist,assist_total,points,pk,g90,a90,p90,np_points90,goals_on,involvement
2021,Erling Haaland ,651,10,2,0,2,12,1,1.38,0.28,1.66,1.52,19,0.632
2021,Gio Reyna ,887,3,4,4,8,11,0,0.3,0.81,1.12,1.12,17,0.647
2021,Marco Reus ,736,3,1,4,5,8,0,0.37,0.61,0.98,0.98,18,0.444
2021,Raphaël Guerreiro ,703,2,5,0,5,7,0,0.26,0.77,1.02,1.02,18,0.444
2021,Jadon Sancho ,893,0,3,2,5,5,0,0,0.6,0.6,0.6,14,0.429
2021,Emre Can ,763,1,1,3,4,5,0,0.12,0.47,0.59,0.59,16,0.313
2021,Mats Hummels ,1159,3,0,1,1,4,0,0.23,0.08,0.31,0.31,26,0.154
2021,Julian Brandt ,586,0,1,2,3,3,0,0,0.46,0.46,0.46,13,0.231
2021,Jude Bellingham ,524,0,2,1,3,3,0,0,0.52,0.52,0.52,13,0.231
2021,Youssoufa Moukoko ,249,1,0,1,1,2,0,0.36,0.36,0.72,0.72,5,0.4
2021,Thomas Meunier ,803,0,1,0,1,1,0,0,0.22,0.22,0.22,19,0.105
2021,Nico Schulz ,136,0,0,1,1,1,0,0,0.66,0.66,0.66,2,0.5
2021,Felix Passlack ,346,1,0,0,0,1,0,0.26,0,0.26,0.26,8,0.125
2021,Thorgan Hazard ,165,1,0,0,0,1,0,0.55,0,0.55,0.55,5,0.2
2021,Roman Bürki ,990,0,0,1,1,1,0,0,0.09,0.09,0.09,21,0.048
2021,Manuel Akanji ,979,1,0,0,0,1,0,0.09,0,0.09,0.09,24,0.042
1920,Jadon Sancho ,2287,17,16,15,31,48,0,0.67,1.26,1.93,1.93,72,0.681
1920,Julian Brandt ,2203,3,7,14,21,24,0,0.12,0.9,1.02,1.02,61,0.41
1920,Thorgan Hazard ,2380,7,13,2,15,22,0,0.26,0.61,0.87,0.87,65,0.354
1920,Marco Reus ,1495,11,5,3,8,19,1,0.66,0.54,1.2,1.14,47,0.426
1920,Achraf Hakimi ,2715,5,10,5,15,20,0,0.17,0.5,0.66,0.66,73,0.274
1920,Raphaël Guerreiro ,2335,8,2,6,8,16,0,0.31,0.39,0.69,0.69,63,0.286
1920,Erling Haaland ,1063,13,2,2,4,17,0,1.1,0.34,1.44,1.44,31,0.548
1920,Axel Witsel ,2245,4,5,5,10,14,0,0.16,0.4,0.56,0.56,62,0.226
1920,Paco Alcácer ,530,5,1,1,2,7,0,0.85,0.34,1.19,1.19,13,0.538
1920,Mats Hummels ,2581,1,3,2,5,6,0,0.03,0.17,0.21,0.21,74,0.081
1920,Łukasz Piszczek ,2106,1,3,1,4,5,0,0.04,0.17,0.21,0.21,57,0.088
1920,Manuel Akanji ,2309,0,1,4,5,5,0,0,0.19,0.19,0.19,70,0.071
1920,Gio Reyna ,355,0,1,3,4,4,0,0,1.01,1.01,1.01,7,0.571
1920,Mahmoud Dahoud ,558,0,1,3,4,4,0,0,0.65,0.65,0.65,13,0.308
1920,Dan-Axel Zagadou ,983,1,1,1,2,3,0,0.09,0.18,0.27,0.27,32,0.094
1920,Julian Weigl ,1019,1,0,2,2,3,0,0.09,0.18,0.26,0.26,25,0.12
1920,Mario Götze ,521,3,0,0,0,3,1,0.52,0,0.52,0.35,11,0.273
1920,Emre Can ,955,2,0,0,0,2,0,0.19,0.09,0.28,0.28,20,0.15
1920,Nico Schulz ,594,1,0,1,1,2,0,0.15,0.15,0.3,0.3,12,0.167
1920,Marcel Schmelzer ,66,1,1,0,1,2,0,1.36,1.36,2.73,2.73,3,0.667
1920,Thomas Delaney ,830,0,0,2,2,2,0,0,0.22,0.22,0.22,19,0.105
1920,Mateu Morey ,197,0,1,0,1,1,0,0,0.46,0.46,0.46,3,0.333
1920,Marwin Hitz ,290,0,0,1,1,1,0,0,0.31,0.31,0.31,8,0.125
1920,Jacob Bruun Larsen ,68,0,1,0,1,1,0,0,1.32,1.32,1.32,4,0.25
1819,Jadon Sancho ,2462,12,14,12,26,38,0,0.44,1.06,1.5,1.5,68,0.603
1819,Marco Reus ,2321,18,8,5,13,31,3,0.7,0.62,1.32,1.2,60,0.567
1819,Paco Alcácer ,1203,18,0,3,3,21,1,1.35,0.3,1.65,1.57,42,0.524
1819,Mario Götze ,1680,7,7,1,8,15,0,0.38,0.48,0.86,0.86,37,0.432
1819,Axel Witsel ,2873,4,1,9,10,14,0,0.13,0.31,0.44,0.44,74,0.189
1819,Raphaël Guerreiro ,1531,2,6,5,11,13,0,0.12,0.65,0.76,0.76,40,0.325
1819,Thomas Delaney ,2287,3,5,4,9,12,0,0.12,0.39,0.51,0.51,54,0.241
1819,Christian Pulisic ,924,4,4,3,7,11,0,0.39,0.68,1.07,1.07,28,0.393
1819,Achraf Hakimi ,1740,2,4,3,7,9,0,0.1,0.41,0.52,0.52,53,0.208
1819,Łukasz Piszczek ,1759,1,6,0,6,7,0,0.05,0.31,0.36,0.36,42,0.167
1819,Jacob Bruun Larsen ,1270,2,2,2,4,6,0,0.14,0.35,0.5,0.5,32,0.219
1819,Mahmoud Dahoud ,695,1,0,4,4,5,0,0.13,0.52,0.65,0.65,22,0.227
1819,Marcel Schmelzer ,564,0,1,2,3,3,0,0,0.48,0.48,0.48,20,0.15
1819,Maximilian Philipp ,758,1,1,1,2,3,0,0.12,0.24,0.36,0.36,19,0.158
1819,Abdou Diallo ,2380,1,1,1,2,3,0,0.04,0.08,0.11,0.11,58,0.052
1819,Manuel Akanji ,2205,1,0,2,2,3,0,0.04,0.08,0.12,0.12,60,0.05
1819,Dan-Axel Zagadou ,1266,2,0,0,0,2,0,0.14,0,0.14,0.14,37,0.054
1819,Marius Wolf ,827,1,0,1,1,2,0,0.11,0.11,0.22,0.22,15,0.133
1819,Julian Weigl ,1455,1,0,0,0,1,0,0.06,0,0.06,0.06,37,0.027
1819,Roman Bürki ,2880,0,0,1,1,1,0,0,0.03,0.03,0.03,75,0.013
