season,goalscorer,assist,second_assist,round
1819,Marco Reus ,Jadon Sancho,Mahmoud Dahoud ,1
1819,Mahmoud Dahoud ,Marcel Schmelzer ,Maximilian Philipp,1
1819,Axel Witsel ,,Christian Pulisic ,1
1819,Marco Reus ,,,1
1819,Marius Wolf ,Jadon Sancho,Paco Alcácer ,3
1819,Abdou Diallo ,,,3
1819,Paco Alcácer ,,,3
1819,Christian Pulisic ,Marco Reus ,Marcel Schmelzer ,4
1819,Jacob Bruun Larsen ,Christian Pulisic ,Achraf Hakimi,5
1819,Marco Reus ,Jacob Bruun Larsen ,Thomas Delaney,5
1819,Julian Weigl ,Jadon Sancho,Thomas Delaney,5
1819,Achraf Hakimi ,Marco Reus ,,5
1819,Marco Reus ,Maximilian Philipp ,Christian Pulisic ,5
1819,Jadon Sancho ,Thomas Delaney ,Manuel Akanji ,5
1819,Manuel Akanji ,,,5
1819,Paco Alcácer ,Achraf Hakimi ,Marco Reus,6
1819,Marco Reus ,Jadon Sancho,Roman Bürki ,6
1819,Paco Alcácer ,Jadon Sancho,Achraf Hakimi,6
1819,Jacob Bruun Larsen ,,Achraf Hakimi,6
1819,Mario Götze ,Achraf Hakimi ,Jadon Sancho,7
1819,Paco Alcácer ,Jadon Sancho,Julian Weigl ,7
1819,Paco Alcácer ,Raphaël Guerreiro,,7
1819,Paco Alcácer ,,,7
1819,Maximilian Philipp ,Christian Pulisic ,Julian Weigl ,8
1819,Marco Reus ,Łukasz Piszczek ,Jadon Sancho,8
1819,Paco Alcácer ,Marco Reus ,,8
1819,Jadon Sancho ,,Jacob Bruun Larsen ,8
1819,Jadon Sancho ,Achraf Hakimi ,,9
1819,Jadon Sancho ,Mario Götze ,Mahmoud Dahoud ,9
1819,Marco Reus ,Thomas Delaney ,Jadon Sancho,10
1819,Paco Alcácer ,Axel Witsel ,Marco Reus,11
1819,Marco Reus ,Łukasz Piszczek ,Mahmoud Dahoud ,11
1819,Marco Reus ,,,11
1819,Łukasz Piszczek ,Łukasz Piszczek ,Jacob Bruun Larsen ,12
1819,Paco Alcácer ,Marco Reus ,Jadon Sancho,12
1819,Paco Alcácer ,Łukasz Piszczek ,Jadon Sancho,13
1819,Marco Reus ,,,13
1819,Thomas Delaney ,Marco Reus ,,14
1819,Jadon Sancho ,Raphaël Guerreiro,Abdou Diallo,14
1819,Marco Reus ,Jadon Sancho,Paco Alcácer ,15
1819,Paco Alcácer ,Raphaël Guerreiro,,15
1819,Paco Alcácer ,Łukasz Piszczek ,Jadon Sancho,16
1819,Jadon Sancho ,Mario Götze ,Marco Reus,17
1819,Marco Reus ,Mario Götze ,Jadon Sancho,17
1819,Axel Witsel ,Łukasz Piszczek ,Raphaël Guerreiro,18
1819,Marco Reus ,Achraf Hakimi ,,19
1819,Mario Götze ,Jadon Sancho,Thomas Delaney,19
1819,Axel Witsel ,Jadon Sancho,Marco Reus,19
1819,Raphaël Guerreiro ,Marco Reus ,Paco Alcácer ,19
1819,Achraf Hakimi ,Raphaël Guerreiro,Jadon Sancho,19
1819,Marco Reus ,Raphaël Guerreiro,Julian Weigl ,20
1819,Jadon Sancho ,Łukasz Piszczek ,Julian Weigl ,21
1819,Raphaël Guerreiro ,Mario Götze ,Jadon Sancho,21
1819,Mario Götze ,,Julian Weigl ,21
1819,Jadon Sancho ,Abdou Diallo ,Raphaël Guerreiro,23
1819,Dan-Axel Zagadou ,Jadon Sancho,,23
1819,Mario Götze ,,Julian Weigl ,23
1819,Paco Alcácer ,Mario Götze ,Jadon Sancho,24
1819,Paco Alcácer ,Christian Pulisic ,Marco Reus,25
1819,Christian Pulisic ,Mario Götze ,Julian Weigl ,25
1819,Marco Reus ,,,25
1819,Marco Reus ,Jadon Sancho,Raphaël Guerreiro,26
1819,Dan-Axel Zagadou ,Jadon Sancho,,26
1819,Thomas Delaney ,,,26
1819,Paco Alcácer ,Jadon Sancho,Mahmoud Dahoud ,27
1819,Paco Alcácer ,,,27
1819,Jadon Sancho ,Mario Götze ,Marius Wolf ,29
1819,Jadon Sancho ,Thomas Delaney ,Mario Götze ,29
1819,Jadon Sancho ,Marco Reus ,Raphaël Guerreiro,30
1819,Mario Götze ,Marco Reus ,Jadon Sancho,30
1819,Marco Reus ,Raphaël Guerreiro,Julian Weigl ,30
1819,Paco Alcácer ,,,30
1819,Axel Witsel ,Jacob Bruun Larsen ,Manuel Akanji ,31
1819,Mario Götze ,Jadon Sancho,Julian Weigl ,31
1819,Christian Pulisic ,Thomas Delaney ,,32
1819,Paco Alcácer ,,,32
1819,Christian Pulisic ,Thomas Delaney ,Raphaël Guerreiro,33
1819,Thomas Delaney ,,Christian Pulisic ,33
1819,Mario Götze ,,Marcel Schmelzer ,33
1819,Marco Reus ,Christian Pulisic ,Jadon Sancho,34
1819,Jadon Sancho ,,Thomas Delaney,34
1920,Julian Brandt ,Axel Witsel ,Jadon Sancho,1
1920,Jadon Sancho ,Axel Witsel ,Nico Schulz ,1
1920,Paco Alcácer ,Jadon Sancho,Mats Hummels,1
1920,Marco Reus ,Paco Alcácer ,Jadon Sancho,1
1920,Paco Alcácer ,,Jadon Sancho,1
1920,Paco Alcácer ,Jadon Sancho,Julian Brandt ,2
1920,Achraf Hakimi ,Łukasz Piszczek ,Julian Brandt ,2
1920,Jadon Sancho ,Thorgan Hazard ,Paco Alcácer ,2
1920,Paco Alcácer ,Jadon Sancho,Marco Reus,3
1920,Paco Alcácer ,Achraf Hakimi ,,4
1920,Marco Reus ,Jacob Bruun Larsen ,Thorgan Hazard,4
1920,Marco Reus ,Jadon Sancho,Manuel Akanji ,4
1920,Raphaël Guerreiro ,,Thomas Delaney,4
1920,Jadon Sancho ,Axel Witsel ,Raphaël Guerreiro,5
1920,Axel Witsel ,Thorgan Hazard ,Jadon Sancho,5
1920,Mario Götze ,Łukasz Piszczek ,Achraf Hakimi,6
1920,Marco Reus ,Thorgan Hazard ,Julian Weigl ,6
1920,Achraf Hakimi ,Jadon Sancho,Julian Brandt ,7
1920,Axel Witsel ,Thorgan Hazard ,,7
1920,Marco Reus ,Thorgan Hazard ,Julian Brandt ,8
1920,Thorgan Hazard ,Achraf Hakimi ,Marwin Hitz,10
1920,Raphaël Guerreiro ,Thorgan Hazard ,Julian Weigl ,10
1920,Mario Götze ,,,10
1920,Jadon Sancho ,Achraf Hakimi ,Julian Brandt ,12
1920,Marco Reus ,Jadon Sancho,Julian Weigl ,12
1920,Axel Witsel ,Mats Hummels ,Raphaël Guerreiro,12
1920,Thorgan Hazard ,Achraf Hakimi ,Manuel Akanji ,13
1920,Jadon Sancho ,Julian Brandt ,Marco Reus,13
1920,Jadon Sancho ,Achraf Hakimi ,Julian Brandt ,14
1920,Thorgan Hazard ,Jadon Sancho,Julian Brandt ,14
1920,Marco Reus ,Łukasz Piszczek ,Julian Brandt ,14
1920,Jadon Sancho ,Marco Reus ,Raphaël Guerreiro,14
1920,Marco Reus ,Thorgan Hazard ,Achraf Hakimi,14
1920,Jadon Sancho ,Dan-Axel Zagadou ,,15
1920,Nico Schulz ,Jadon Sancho,Mahmoud Dahoud ,15
1920,Thorgan Hazard ,Marco Reus ,Jadon Sancho,15
1920,Marco Reus ,,Jadon Sancho,15
1920,Julian Brandt ,Jadon Sancho,Dan-Axel Zagadou ,16
1920,Jadon Sancho ,Marco Reus ,Achraf Hakimi,16
1920,Julian Weigl ,Raphaël Guerreiro,Jadon Sancho,16
1920,Mario Götze ,Achraf Hakimi ,Thorgan Hazard,17
1920,Erling Haaland ,Jadon Sancho,Julian Weigl ,18
1920,Erling Haaland ,Marco Reus ,Gio Reyna,18
1920,Jadon Sancho ,Mats Hummels ,Manuel Akanji ,18
1920,Julian Brandt ,Thorgan Hazard ,Łukasz Piszczek,18
1920,Erling Haaland ,Thorgan Hazard ,Julian Weigl ,18
1920,Raphaël Guerreiro ,Jadon Sancho,Marco Reus,19
1920,Erling Haaland ,Mahmoud Dahoud ,Achraf Hakimi,19
1920,Jadon Sancho ,Marco Reus ,Julian Brandt ,19
1920,Marco Reus ,Mats Hummels ,Manuel Akanji ,19
1920,Erling Haaland ,,Jadon Sancho,19
1920,Axel Witsel ,Jadon Sancho,Erling Haaland,20
1920,Erling Haaland ,Julian Brandt ,Jadon Sancho,20
1920,Jadon Sancho ,Raphaël Guerreiro,,20
1920,Erling Haaland ,,Jadon Sancho,20
1920,Marco Reus ,,,20
1920,Raphaël Guerreiro ,Achraf Hakimi ,Jadon Sancho,21
1920,Mats Hummels ,Jadon Sancho,,21
1920,Emre Can ,,Julian Weigl ,21
1920,Łukasz Piszczek ,Achraf Hakimi ,Raphaël Guerreiro,22
1920,Erling Haaland ,Achraf Hakimi ,Jadon Sancho,22
1920,Jadon Sancho ,Axel Witsel ,Mats Hummels,22
1920,Raphaël Guerreiro ,,,22
1920,Erling Haaland ,Achraf Hakimi ,Jadon Sancho,23
1920,Dan-Axel Zagadou ,Jadon Sancho,,23
1920,Jadon Sancho ,Thorgan Hazard ,Julian Brandt ,24
1920,Thorgan Hazard ,Erling Haaland ,,25
1920,Achraf Hakimi ,Jadon Sancho,Julian Weigl ,25
1920,Raphaël Guerreiro ,Erling Haaland ,Julian Brandt ,26
1920,Raphaël Guerreiro ,Julian Brandt ,Mahmoud Dahoud ,26
1920,Thorgan Hazard ,Julian Brandt ,Erling Haaland,26
1920,Erling Haaland ,Thorgan Hazard ,Julian Brandt ,26
1920,Achraf Hakimi ,Jadon Sancho,Mahmoud Dahoud ,27
1920,Raphaël Guerreiro,Thorgan Hazard ,Achraf Hakimi,27
1920,Marcel Schmelzer ,Axel Witsel ,Gio Reyna,29
1920,Jadon Sancho ,Julian Brandt ,Thomas Delaney,29
1920,Achraf Hakimi ,Marcel Schmelzer ,,29
1920,Jadon Sancho ,Mateu Morey ,Gio Reyna,29
1920,Jadon Sancho ,Thorgan Hazard ,Raphaël Guerreiro,29
1920,Thorgan Hazard ,,Raphaël Guerreiro,29
1920,Emre Can ,Julian Brandt ,Jadon Sancho,30
1920,Erling Haaland ,Manuel Akanji ,Julian Brandt ,31
1920,Erling Haaland ,Gio Reyna ,Julian Brandt ,33
1920,Erling Haaland ,Julian Brandt ,Jadon Sancho,33
2021,Erling Haaland ,Jadon Sancho,Mats Hummels,1
2021,Gio Reyna ,Jude Bellingham ,Emre Can ,1
2021,Erling Haaland ,,,1
2021,Felix Passlack ,Erling Haaland ,Julian Brandt ,3
2021,Erling Haaland ,Gio Reyna ,Marco Reus,3
2021,Emre Can ,Gio Reyna ,,3
2021,Erling Haaland ,Gio Reyna ,,3
2021,Marco Reus ,Erling Haaland ,Gio Reyna,4
2021,Erling Haaland ,Jadon Sancho,Gio Reyna,5
2021,Mats Hummels ,Raphaël Guerreiro,,5
2021,Manuel Akanji ,,Julian Brandt ,5
2021,Mats Hummels ,Marco Reus ,Jude Bellingham ,6
2021,Mats Hummels ,Thomas Meunier ,Jadon Sancho,6
2021,Erling Haaland ,Raphaël Guerreiro,Marco Reus,7
2021,Marco Reus ,Raphaël Guerreiro,Jadon Sancho,7
2021,Erling Haaland ,Emre Can ,Marco Reus,8
2021,Erling Haaland ,Jude Bellingham ,Gio Reyna,8
2021,Erling Haaland ,Julian Brandt ,Roman Bürki ,8
2021,Raphaël Guerreiro ,,Marco Reus,8
2021,Erling Haaland ,,,8
2021,Thorgan Hazard ,Gio Reyna ,Youssoufa Moukoko,9
2021,Gio Reyna ,Jadon Sancho,Nico Schulz ,10
2021,Gio Reyna ,Raphaël Guerreiro,Emre Can ,11
2021,Raphaël Guerreiro ,,Gio Reyna,12
2021,Marco Reus ,,,12
2021,Youssoufa Moukoko ,Raphaël Guerreiro,Emre Can ,13
