team,league,nineties,goals,shots,shots_on_target,on_target_percent,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_on_target,shot_distance,free_kick,pens,pens_att,xg,npxg,npxg_per_shot,g_minus_xg,npg_minus_npxg,xga,xgdiff,npxga
Alavés,La Liga,17,0.82,8.35,2.18,26.1,8.35,2.18,0.08,0.3,17,0.24,0.18,0.24,1.18,1,0.119718309859155,-0.35,-0.35,23.2,-0.19,1.32
Angers,Ligue 1,17,1.35,12,4.06,33.8,12,4.06,0.1,0.3,18.3,0.65,0.12,0.18,1.29,1.16,0.09656862745098,0.06,0.08,22.3,-0.02,1.18
Arminia,Bundesliga,14,0.57,8.29,2.57,31,8.29,2.57,0.07,0.22,19.2,0.21,0,0,0.61,0.61,0.073275862068966,-0.04,-0.04,24.6,-1.15,1.59
Arsenal,Premier League,17,1.18,11.2,3.76,33.5,11.24,3.76,0.09,0.27,16.1,0.76,0.18,0.18,1.31,1.18,0.104712041884817,-0.14,-0.18,20.6,0.1,1.17
Aston Villa,Premier League,15,1.87,15.9,5.47,34.5,15.87,5.47,0.11,0.3,15.9,0.47,0.2,0.27,1.82,1.62,0.102100840336134,0.05,0.05,17.6,0.64,1.07
Atalanta,Serie A,14,2.36,15.9,5.93,37.4,15.86,5.93,0.14,0.37,16.5,0.64,0.14,0.14,1.88,1.78,0.112162162162162,0.48,0.44,17.2,0.65,1.07
Athletic Club,La Liga,17,1.06,11,3.18,28.9,11,3.18,0.08,0.28,17.5,0.41,0.18,0.18,1.15,1.02,0.092513368983957,-0.09,-0.14,15.2,0.26,0.77
Atlético Madrid,La Liga,15,1.87,11.6,4.07,35.1,11.6,4.07,0.15,0.43,17.7,0.33,0.13,0.27,1.39,1.18,0.101724137931034,0.47,0.55,10,0.73,0.67
Augsburg,Bundesliga,14,1.07,9.5,3.29,34.6,9.5,3.29,0.11,0.33,17.9,0.14,0,0,0.96,0.96,0.101503759398496,0.11,0.11,20.7,-0.52,1.37
Barcelona,La Liga,16,1.69,16.4,6.56,40.1,16.37,6.56,0.1,0.24,17,1.38,0.13,0.31,2.28,2.04,0.124427480916031,-0.59,-0.47,19.6,1.06,1.13
Bayern Munich,Bundesliga,14,3.14,14.7,6,40.8,14.71,6,0.19,0.48,15.7,0.5,0.29,0.29,2.13,1.91,0.130097087378641,1.01,0.94,19.4,0.74,1.33
Benevento,Serie A,15,1.13,12.3,3.67,29.9,12.27,3.67,0.09,0.29,17.6,0.6,0.07,0.2,1.19,1.03,0.083695652173913,-0.05,0.04,23.9,-0.4,1.44
Betis,La Liga,17,1.18,12.2,3.88,31.9,12.18,3.88,0.08,0.26,18.4,0.47,0.18,0.29,1.2,0.97,0.079710144927536,-0.02,0.03,24.8,-0.26,1.15
Bologna,Serie A,15,1.27,13.2,5.2,39.4,13.2,5.2,0.1,0.24,17.2,0.73,0,0.07,1.35,1.29,0.097979797979798,-0.09,-0.03,22.9,-0.17,1.42
Bordeaux,Ligue 1,17,1,10.4,3.59,34.7,10.35,3.59,0.09,0.26,17.4,0.59,0.06,0.06,0.96,0.92,0.088636363636364,0.04,0.02,24.9,-0.5,1.29
Brest,Ligue 1,17,1.53,11.8,4.47,37.8,11.82,4.47,0.11,0.3,16.4,0.35,0.18,0.24,1.41,1.23,0.103980099502488,0.12,0.12,24.2,-0.01,1.24
Brighton,Premier League,17,1.18,12.2,3.12,25.6,12.18,3.12,0.07,0.28,16.3,0.18,0.29,0.35,1.39,1.12,0.091787439613527,-0.21,-0.24,18.2,0.32,0.8
Burnley,Premier League,15,0.53,9.27,3.07,33.1,9.27,3.07,0.06,0.17,16.5,0.53,0,0,0.88,0.88,0.094964028776979,-0.35,-0.35,21.3,-0.54,1.27
Cádiz,La Liga,17,0.65,8.18,2.59,31.7,8.18,2.59,0.08,0.25,17.2,0.53,0,0,0.84,0.84,0.102877697841727,-0.19,-0.19,17.5,-0.19,0.99
Cagliari,Serie A,15,1.47,10.5,3.33,31.6,10.53,3.33,0.13,0.4,16.1,0.47,0.13,0.13,1.27,1.17,0.110759493670886,0.19,0.17,33.3,-0.95,2.07
Celta Vigo,La Liga,17,1.29,10.2,3.82,37.4,10.24,3.82,0.11,0.29,16.1,0.41,0.18,0.18,1.47,1.34,0.130459770114943,-0.18,-0.22,18.7,0.37,0.96
Chelsea,Premier League,17,1.82,13.6,4.88,35.8,13.65,4.88,0.12,0.34,16.1,0.47,0.18,0.29,1.66,1.44,0.105603448275862,0.16,0.21,18.7,0.57,1.01
Crotone,Serie A,15,1,8.8,2.8,31.8,8.8,2.8,0.08,0.26,18.9,0.33,0.27,0.27,0.93,0.74,0.084090909090909,0.07,-0.01,26.3,-0.82,1.65
Crystal Palace,Premier League,17,1.18,9.76,3.71,38,9.76,3.71,0.11,0.29,16.1,0.53,0.12,0.12,0.96,0.88,0.089759036144578,0.22,0.18,23.9,-0.45,1.23
Dijon,Ligue 1,17,0.71,10.1,2.76,27.3,10.12,2.76,0.07,0.26,17.4,0.41,0,0.06,0.86,0.82,0.080813953488372,-0.15,-0.11,35.3,-1.21,1.76
Borussia Dortmund,Bundesliga,14,2,15.2,5.71,37.6,15.21,5.71,0.13,0.34,15.9,0.43,0.07,0.14,2.14,2.01,0.131924882629108,-0.14,-0.08,15.1,1.05,0.97
Eibar,La Liga,17,0.82,10.5,3.47,33.1,10.47,3.47,0.07,0.2,19.2,0.41,0.12,0.29,1.02,0.79,0.075280898876405,-0.19,-0.08,21.4,-0.25,1.17
Frankfurt,Bundesliga,14,1.5,11.9,3.79,31.7,11.93,3.79,0.1,0.32,16.1,0.43,0.29,0.29,1.65,1.43,0.119760479041916,-0.15,-0.21,22.2,0.06,1.37
Elche,La Liga,15,0.87,5.73,1.87,32.6,5.73,1.87,0.13,0.39,16.5,0.2,0.13,0.13,0.69,0.59,0.103488372093023,0.17,0.14,25,-0.97,1.47
Everton,Premier League,16,1.56,10.9,4.5,41.4,10.87,4.5,0.13,0.32,16.3,0.31,0.13,0.13,1.31,1.22,0.112068965517241,0.25,0.22,20.2,0.05,1.17
Fiorentina,Serie A,15,1,10.3,3.13,30.3,10.33,3.13,0.08,0.28,15.5,0.33,0.13,0.13,1.25,1.15,0.111612903225806,-0.25,-0.29,22.1,-0.22,1.27
Freiburg,Bundesliga,14,1.57,12.9,4.86,37.6,12.93,4.86,0.1,0.26,16.5,0.57,0.29,0.29,1.61,1.4,0.10828729281768,-0.04,-0.11,21.1,0.11,1.4
Fulham,Premier League,15,0.8,11.3,3.33,29.6,11.27,3.33,0.06,0.2,17.9,0.33,0.13,0.33,1.11,0.91,0.080473372781065,-0.31,-0.24,21.8,-0.35,1.2
Genoa,Serie A,15,1,8.73,2.87,32.8,8.73,2.87,0.11,0.33,17.9,0.2,0.07,0.07,0.87,0.82,0.093893129770992,0.13,0.11,22.1,-0.6,1.28
Getafe,La Liga,16,0.75,9.06,2.75,30.3,9.06,2.75,0.08,0.25,18.5,0.75,0.06,0.06,0.81,0.76,0.084137931034483,-0.06,-0.07,17.7,-0.29,0.91
Granada,La Liga,16,1.19,10.1,3.31,32.7,10.13,3.31,0.1,0.32,18.5,0.69,0.13,0.19,1.16,1.02,0.100617283950617,0.03,0.04,22.7,-0.26,1.23
Hellas Verona,Serie A,15,0.93,10,3.13,31.3,10,3.13,0.07,0.23,15.8,0.2,0.2,0.2,1.34,1.19,0.118666666666667,-0.41,-0.45,21.3,-0.08,1.32
Hertha BSC,Bundesliga,14,1.57,11.6,4.29,36.8,11.64,4.29,0.12,0.33,16.9,0.36,0.14,0.14,1.27,1.16,0.1,0.3,0.26,21.2,-0.24,1.3
Hoffenheim,Bundesliga,14,1.57,11.8,4.79,40.6,11.79,4.79,0.12,0.28,16,0.5,0.21,0.29,1.61,1.4,0.118787878787879,-0.04,-0.04,25.7,-0.22,1.58
Huesca,La Liga,17,0.82,10.4,3.59,34.7,10.35,3.59,0.07,0.21,17.4,0.29,0.06,0.06,0.91,0.88,0.084659090909091,-0.09,-0.11,21.8,-0.37,1.11
Inter,Serie A,15,2.47,14.9,5.53,37.2,14.87,5.53,0.15,0.41,15.1,0.13,0.2,0.2,2.16,2.01,0.134529147982063,0.31,0.25,19.4,0.86,1.13
Juventus,Serie A,14,2.07,15.2,5.36,35.2,15.21,5.36,0.12,0.33,16.7,0.64,0.29,0.36,2,1.74,0.114553990610329,0.07,0.04,12.9,1.08,0.81
Köln,Bundesliga,14,0.86,8.86,3,33.9,8.86,3,0.09,0.26,16.2,0.07,0.07,0.07,1,0.94,0.106451612903226,-0.14,-0.16,23.8,-0.71,1.37
Lazio,Serie A,15,1.53,11.8,3.87,32.8,11.8,3.87,0.11,0.34,16.9,0.47,0.2,0.27,1.28,1.08,0.091525423728814,0.25,0.25,20.5,-0.09,1.27
Leeds United,Premier League,17,1.71,15.2,5.35,35.1,15.24,5.35,0.1,0.29,16.3,0.24,0.18,0.18,1.73,1.59,0.104633204633205,-0.02,-0.06,31.5,-0.12,1.59
Leicester City,Premier League,17,1.65,11,3.53,32.1,11,3.53,0.11,0.33,18.2,0.53,0.47,0.59,1.48,1.04,0.094117647058824,0.16,0.14,20,0.3,1.13
Lens,Ligue 1,16,1.5,11.6,3.69,31.9,11.56,3.69,0.1,0.31,17.4,0.75,0.38,0.38,1.59,1.31,0.113513513513514,-0.09,-0.19,17.6,0.49,0.96
Levante,La Liga,16,1.31,11.1,3.81,34.3,11.12,3.81,0.11,0.31,17.5,0.25,0.13,0.19,1.2,1.06,0.094943820224719,0.11,0.13,22.6,-0.21,1.33
Leverkusen,Bundesliga,14,2,12.9,4.93,38.3,12.86,4.93,0.14,0.38,17.9,0.43,0.14,0.14,1.32,1.22,0.095,0.68,0.64,13.6,0.35,0.86
Lille,Ligue 1,17,1.76,13.1,4.94,37.7,13.12,4.94,0.12,0.32,19.2,0.71,0.18,0.18,1.49,1.36,0.104035874439462,0.27,0.22,13.6,0.69,0.76
Liverpool,Premier League,17,2.06,15.1,5.47,36.3,15.06,5.47,0.12,0.32,16.3,0.59,0.29,0.29,1.95,1.74,0.115234375,0.11,0.03,20,0.77,0.95
Lorient,Ligue 1,17,0.94,10.4,3,28.8,10.41,3,0.06,0.22,18.5,0.47,0.29,0.35,1.34,1.06,0.10225988700565,-0.39,-0.42,23.9,-0.07,1.23
Lyon,Ligue 1,17,1.88,16.5,5.35,32.4,16.53,5.35,0.09,0.27,16.5,0.82,0.41,0.41,2.43,2.12,0.128113879003559,-0.55,-0.65,16.7,1.44,0.76
M'Gladbach,Bundesliga,14,1.79,13.6,5,36.8,13.57,5,0.1,0.27,16.3,0.36,0.43,0.43,1.82,1.5,0.110526315789474,-0.04,-0.14,18.2,0.52,1.14
Mainz 05,Bundesliga,14,1,10.9,3.29,30.3,10.86,3.29,0.08,0.26,17,0.36,0.14,0.14,1.36,1.25,0.115131578947368,-0.36,-0.39,24.5,-0.39,1.59
Man City,Premier League,15,1.6,15.4,5.27,34.2,15.4,5.27,0.1,0.28,17,0.73,0.13,0.2,1.71,1.56,0.101298701298701,-0.11,-0.09,13.1,0.84,0.67
Man Utd,Premier League,16,2,14,5.31,37.9,14,5.31,0.12,0.32,17.4,0.38,0.31,0.38,1.7,1.42,0.100892857142857,0.3,0.27,21.4,0.36,1.15
Marseille,Ligue 1,15,1.4,9.27,2.93,31.7,9.27,2.93,0.14,0.45,16.8,0.27,0.07,0.2,1.29,1.13,0.122302158273381,0.11,0.2,18.5,0.05,1.13
Metz,Ligue 1,17,1.06,10.2,3.59,35.1,10.24,3.59,0.08,0.23,19,1,0.24,0.41,1.21,0.91,0.088505747126437,-0.15,-0.08,21.1,-0.03,1.11
Milan,Serie A,15,2.2,15.1,4.6,30.4,15.13,4.6,0.11,0.38,17,1.07,0.47,0.67,2.16,1.65,0.109251101321586,0.04,0.08,18.9,0.9,1.06
Monaco,Ligue 1,17,1.65,13.4,4.06,30.4,13.35,4.06,0.1,0.33,15.9,0.59,0.29,0.29,1.66,1.45,0.108370044052863,-0.02,-0.09,18.8,0.56,0.93
Montpellier,Ligue 1,17,1.71,12.5,4.47,35.7,12.53,4.47,0.13,0.36,16.7,0.71,0.12,0.18,1.15,1.01,0.08075117370892,0.56,0.58,27,-0.44,1.18
Nantes,Ligue 1,17,1.06,11.9,3.35,28.2,11.88,3.35,0.07,0.25,17.8,0.18,0.24,0.29,1.38,1.16,0.098019801980198,-0.32,-0.34,29.5,-0.36,1.43
Napoli,Serie A,14,2.21,18.4,6.86,37.4,18.36,6.86,0.12,0.31,16.7,0.86,0.07,0.07,1.82,1.76,0.096108949416342,0.39,0.38,12.4,0.93,0.78
Newcastle,Premier League,16,1.06,8.56,2.88,33.6,8.56,2.87,0.09,0.28,17.6,0.5,0.25,0.25,0.94,0.75,0.087591240875912,0.13,0.06,21.8,-0.42,1.26
Nice,Ligue 1,16,1.31,10.3,3.63,35.2,10.31,3.62,0.11,0.31,16.8,0.5,0.19,0.19,1.34,1.2,0.116363636363636,-0.03,-0.07,22.9,-0.09,1.2
Nîmes,Ligue 1,17,0.82,10.2,3.47,34.1,10.18,3.47,0.07,0.2,18.6,0.47,0.12,0.12,0.89,0.79,0.078034682080925,-0.06,-0.09,34.5,-1.14,1.8
Osasuna,La Liga,16,0.94,9.69,3.19,32.9,9.69,3.19,0.08,0.25,19.2,0.25,0.13,0.13,0.94,0.84,0.087096774193548,0,-0.03,24.3,-0.58,1.25
PSG,Ligue 1,17,2.29,15.2,5.94,39.1,15.18,5.94,0.13,0.34,16,0.94,0.29,0.29,2.27,2.05,0.134883720930233,0.02,-0.05,20,1.09,1.09
Parma,Serie A,15,0.87,9.33,2.93,31.4,9.33,2.93,0.09,0.27,17.4,0.47,0.07,0.07,0.92,0.87,0.092857142857143,-0.05,-0.07,21.1,-0.49,1.41
RB Leipzig,Bundesliga,14,1.71,14.9,5.07,34.1,14.86,5.07,0.09,0.27,16.1,0.29,0.36,0.5,1.91,1.54,0.103365384615385,-0.2,-0.18,11.6,1.09,0.83
Real Madrid,La Liga,17,1.59,13.9,4.29,30.8,13.94,4.29,0.11,0.34,16.2,0.24,0.12,0.12,1.68,1.59,0.114345991561181,-0.09,-0.12,19,0.57,0.85
Real Sociedad,La Liga,18,1.5,11.4,3.78,33.2,11.39,3.78,0.1,0.31,16.5,0.61,0.33,0.39,1.62,1.33,0.117073170731707,-0.12,-0.17,15.1,0.78,0.71
Reims,Ligue 1,17,1.24,9.71,3.29,33.9,9.71,3.29,0.1,0.3,19.2,0.41,0.24,0.24,0.99,0.81,0.083636363636364,0.25,0.19,30.4,-0.8,1.56
Rennes,Ligue 1,17,1.47,14.6,4.47,30.5,14.65,4.47,0.1,0.33,16.9,0.88,0,0,1.38,1.38,0.093975903614458,0.09,0.09,16,0.44,0.94
Roma,Serie A,15,2.07,14.7,5,33.9,14.73,5,0.12,0.36,16,0.47,0.27,0.27,2.21,2.02,0.13710407239819,-0.15,-0.22,17.6,1.05,0.96
Saint-Étienne,Ligue 1,17,1,11.1,3.53,31.7,11.12,3.53,0.07,0.23,19,0.53,0.18,0.29,1.21,0.99,0.088888888888889,-0.21,-0.16,19.9,0.04,1.08
Sampdoria,Serie A,15,1.53,11.1,3.47,31.1,11.13,3.47,0.13,0.42,17.3,0.2,0.07,0.13,1.16,1.06,0.095209580838323,0.37,0.41,24.5,-0.48,1.4
Sassuolo,Serie A,15,1.73,12.8,4.73,37,12.8,4.73,0.11,0.31,17.6,0.8,0.27,0.27,1.37,1.17,0.091145833333333,0.36,0.3,24,-0.23,1.5
Schalke 04,Bundesliga,14,0.5,11.1,2.71,24.5,11.07,2.71,0.05,0.18,18,0.43,0,0.07,0.8,0.74,0.067096774193548,-0.3,-0.24,30.9,-1.41,1.89
Sevilla,La Liga,15,1.13,12.2,2.87,23.5,12.2,2.87,0.08,0.33,16.6,0.47,0.2,0.2,1.21,1.06,0.086885245901639,-0.08,-0.13,14.9,0.22,0.89
Sheffield Utd,Premier League,17,0.47,8.24,2.41,29.3,8.24,2.41,0.04,0.15,16.2,0.12,0.12,0.18,0.93,0.79,0.096428571428572,-0.46,-0.44,25.6,-0.58,1.46
Southampton,Premier League,17,1.53,10.1,4.06,40.4,10.06,4.06,0.14,0.35,17.9,0.53,0.12,0.12,0.97,0.88,0.087719298245614,0.56,0.53,19.8,-0.19,1.08
Spezia,Serie A,15,1.27,10.3,3.4,33.1,10.27,3.4,0.12,0.35,16.8,0.13,0.07,0.07,1.17,1.13,0.10974025974026,0.09,0.07,28.2,-0.71,1.57
Strasbourg,Ligue 1,17,1.29,10.2,3.24,31.6,10.24,3.24,0.09,0.27,18.8,0.47,0.41,0.41,1.35,1.04,0.101149425287356,-0.06,-0.15,24.8,-0.11,1.24
Stuttgart,Bundesliga,14,1.86,13.9,4.86,34.9,13.93,4.86,0.11,0.32,17,0.57,0.29,0.29,1.9,1.69,0.121538461538462,-0.04,-0.12,21.1,0.39,1.35
Torino,Serie A,15,1.6,10.5,4,38,10.53,4,0.13,0.35,17,0.93,0.2,0.2,1.23,1.08,0.10253164556962,0.37,0.32,24,-0.37,1.46
Tottenham,Premier League,16,1.81,11.3,4.5,39.8,11.31,4.5,0.14,0.36,17,1,0.19,0.19,1.43,1.29,0.113812154696133,0.38,0.34,17.8,0.32,0.92
Udinese,Serie A,14,1,11.9,3.43,28.9,11.86,3.43,0.08,0.27,17.1,0.43,0.07,0.07,1.26,1.21,0.102409638554217,-0.26,-0.29,13,0.34,0.88
Union Berlin,Bundesliga,14,2.07,11.8,4.64,39.4,11.79,4.64,0.16,0.4,17.2,0.14,0.21,0.29,1.54,1.31,0.111515151515152,0.53,0.54,13.5,0.58,0.96
Valencia,La Liga,17,1.29,9.41,3.59,38.1,9.41,3.59,0.11,0.28,19.9,1,0.29,0.29,1.2,0.98,0.104375,0.09,0.02,26.7,-0.37,1.38
Valladolid,La Liga,17,0.94,8.82,2.88,32.7,8.82,2.88,0.08,0.24,17.9,0.65,0.24,0.29,0.99,0.78,0.088,-0.11,-0.13,26.4,-0.56,1.29
Villarreal,La Liga,17,1.29,10.5,3.71,35.4,10.47,3.71,0.1,0.27,16.2,0.41,0.29,0.29,1.42,1.2,0.114606741573034,-0.13,-0.2,16.2,0.47,0.77
Werder Bremen,Bundesliga,14,1.07,11.1,3.57,32.3,11.07,3.57,0.08,0.24,18.4,0.5,0.21,0.21,0.99,0.83,0.074838709677419,0.08,0.03,20.9,-0.5,1.31
West Brom,Premier League,17,0.59,8.18,2.76,33.8,8.18,2.76,0.07,0.21,18.5,0.35,0,0,0.58,0.58,0.071223021582734,0.01,0.01,32.1,-1.31,1.71
West Ham,Premier League,17,1.29,11.8,3.94,33.5,11.76,3.94,0.11,0.33,14.8,0.35,0,0,1.27,1.27,0.108,0.02,0.02,21.6,0,1.09
Wolfsburg,Bundesliga,14,1.43,14.4,5.07,35.3,14.36,5.07,0.09,0.27,17.8,0.57,0.07,0.14,1.52,1.43,0.099502487562189,-0.09,-0.07,17.9,0.25,1.11
Wolves,Premier League,17,1,11.9,4.12,34.5,11.94,4.12,0.07,0.21,17.9,0.35,0.12,0.12,0.98,0.89,0.07487684729064,0.02,-0.01,20.6,-0.23,0.99
