Match,Competition,Date,Aerial Duels,Duels Won,Conceded goals,xCG,Shots against,Total Saves,Reflex Saves,Total Exits,Accurate Exits,Claims,Punches,Total Passes to GK,Accurate Passes,Ball distributions
PSG - Borussia Dortmund 2:0,Europe. UEFA Champions League,2020-03-11,0,0,2,2.07,4,2,1,2,0,2,0,0,0,3
Borussia M'gladbach - Borussia Dortmund 1:2,Germany. Bundesliga,2020-03-07,0,0,1,2.04,3,2,2,0,0,0,0,0,0,4
Borussia Dortmund - Freiburg 1:0,Germany. Bundesliga,2020-02-29,0,0,0,0.42,4,4,3,0,0,0,0,0,0,5
Werder Bremen - Borussia Dortmund 0:2,Germany. Bundesliga,2020-02-22,0,0,0,0.13,2,2,0,2,0,2,0,0,0,7
Borussia Dortmund - PSG 2:1,Europe. UEFA Champions League,2020-02-18,0,0,1,1.15,3,2,2,0,0,0,0,0,0,5
Borussia Dortmund - Eintracht Frankfurt 4:0,Germany. Bundesliga,2020-02-14,0,0,0,0,0,0,0,1,0,1,0,0,0,3
Bayer Leverkusen - Borussia Dortmund 4:3,Germany. Bundesliga,2020-02-08,0,0,4,2.69,6,2,0,1,0,1,0,0,0,3
Borussia Dortmund - Union Berlin 5:0,Germany. Bundesliga,2020-02-01,0,0,0,0,0,0,0,2,0,2,0,0,0,7
Borussia Dortmund - Köln 5:1,Germany. Bundesliga,2020-01-24,1,1,1,1.29,6,5,1,1,0,0,0,0,0,5
Augsburg - Borussia Dortmund 3:5,Germany. Bundesliga,2020-01-18,0,0,3,1.47,5,2,0,2,0,2,0,0,0,11
Feyenoord - Borussia Dortmund 2:4,World. Club Friendlies,2020-01-11,0,0,2,2.34,6,4,3,0,0,0,0,0,0,9
Standard Liège - Borussia Dortmund 0:0,World. Club Friendlies,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hoffenheim - Borussia Dortmund 2:1,Germany. Bundesliga,2019-12-20,0,0,2,1.82,3,1,1,0,0,0,0,0,0,6
Borussia Dortmund - RB Leipzig 3:3,Germany. Bundesliga,2019-12-17,0,0,3,2.82,8,5,5,5,0,5,0,0,0,4
Mainz 05 - Borussia Dortmund 0:4,Germany. Bundesliga,2019-12-14,0,0,0,0,0,0,0,1,0,1,0,0,0,8
Borussia Dortmund - Slavia Praha 2:1,Europe. UEFA Champions League,2019-12-10,0,0,1,2.46,7,6,5,1,0,0,0,0,0,8
Borussia Dortmund - Fortuna Düsseldorf 5:0,Germany. Bundesliga,2019-12-07,0,0,0,0,1,1,0,0,0,0,0,0,0,3
Hertha BSC - Borussia Dortmund 1:2,Germany. Bundesliga,2019-11-30,0,0,1,1.56,4,3,2,1,0,0,0,0,0,9
Barcelona - Borussia Dortmund 3:1,Europe. UEFA Champions League,2019-11-27,0,0,3,2.79,7,4,2,0,0,0,0,0,0,6
Borussia Dortmund - Paderborn 3:3,Germany. Bundesliga,2019-11-22,0,0,3,1.66,5,2,1,1,0,1,0,0,0,7
Bayern München - Borussia Dortmund 4:0,Germany. Bundesliga,2019-11-09,0,0,4,2.15,6,2,1,0,0,0,0,0,0,13
Borussia Dortmund - Internazionale 3:2,Europe. UEFA Champions League,2019-11-05,0,0,2,0.8,4,2,1,3,0,3,0,0,0,1
Internazionale - Borussia Dortmund 2:0,Europe. UEFA Champions League,2019-10-23,0,0,2,1.33,3,1,1,0,0,0,0,0,0,6
Borussia Dortmund - Borussia M'gladbach 1:0,Germany. Bundesliga,2019-10-19,0,0,0,0.26,1,1,1,2,0,0,1,0,0,6
Freiburg - Borussia Dortmund 2:2,Germany. Bundesliga,2019-10-05,0,0,2,0.31,2,0,0,0,0,0,0,0,0,8
Slavia Praha - Borussia Dortmund 0:2,Europe. UEFA Champions League,2019-10-02,0,0,0,0.81,6,6,2,1,0,1,0,0,0,10
Borussia Dortmund - Werder Bremen 2:2,Germany. Bundesliga,2019-09-28,0,0,2,2.19,6,4,3,0,0,0,0,0,0,6
Eintracht Frankfurt - Borussia Dortmund 2:2,Germany. Bundesliga,2019-09-22,0,0,2,0.91,4,2,0,0,0,0,0,0,0,9
Borussia Dortmund - Barcelona 0:0,Europe. UEFA Champions League,2019-09-17,2,1,0,0.04,1,1,1,3,0,1,1,0,0,2
Borussia Dortmund - Bayer Leverkusen 4:0,Germany. Bundesliga,2019-09-14,0,0,0,0.49,3,3,1,0,0,0,0,0,0,10
Union Berlin - Borussia Dortmund 3:1,Germany. Bundesliga,2019-08-31,0,0,3,1.8,7,4,2,3,0,1,2,1,1,8
Köln - Borussia Dortmund 1:3,Germany. Bundesliga,2019-08-23,0,0,1,0.72,1,0,0,0,0,0,0,0,0,5
Borussia Dortmund - Udinese 4:1,World. Club Friendlies,2019-07-27,0,0,1,0.87,2,1,1,0,0,0,0,0,0,4
Seattle Sounders - Borussia Dortmund 1:3,World. Club Friendlies,2019-07-18,0,0,1,1.11,4,3,2,1,0,1,0,0,0,7
Borussia M'gladbach - Borussia Dortmund 0:2,Germany. Bundesliga,2019-05-18,0,0,0,0,0,0,0,1,0,0,0,0,0,9
Werder Bremen - Borussia Dortmund 2:2,Germany. Bundesliga,2019-05-04,0,0,2,0.67,5,3,1,1,0,1,0,0,0,9
Borussia Dortmund - Schalke 04 2:4,Germany. Bundesliga,2019-04-27,0,0,4,1.57,4,0,0,1,0,1,0,0,0,6
Freiburg - Borussia Dortmund 0:4,Germany. Bundesliga,2019-04-21,0,0,0,0.01,1,1,0,3,0,1,0,0,0,6
Borussia Dortmund - Mainz 05 2:1,Germany. Bundesliga,2019-04-13,1,1,1,2.94,10,9,4,3,0,1,0,0,0,6
Bayern München - Borussia Dortmund 5:0,Germany. Bundesliga,2019-04-06,0,0,5,3.95,11,6,5,1,0,1,0,0,0,16
Borussia Dortmund - Wolfsburg 2:0,Germany. Bundesliga,2019-03-30,1,1,0,0.54,3,3,1,2,0,0,0,0,0,9
Hertha BSC - Borussia Dortmund 2:3,Germany. Bundesliga,2019-03-16,0,0,2,1.86,6,4,0,0,0,0,0,0,0,5
Borussia Dortmund - Stuttgart 3:1,Germany. Bundesliga,2019-03-09,0,0,1,0.15,1,0,0,0,0,0,0,0,0,5
Borussia Dortmund - Tottenham Hotspur 0:1,Europe. UEFA Champions League,2019-03-05,0,0,1,0.42,1,0,0,0,0,0,0,0,0,4
Augsburg - Borussia Dortmund 2:1,Germany. Bundesliga,2019-03-01,0,0,2,1.33,4,2,0,0,0,0,0,0,0,4
Borussia Dortmund - Bayer Leverkusen 3:2,Germany. Bundesliga,2019-02-24,2,2,2,0.48,4,2,2,3,0,1,0,0,0,10
Nürnberg - Borussia Dortmund 0:0,Germany. Bundesliga,2019-02-18,0,0,0,0.12,2,2,1,0,0,0,0,0,0,2
Tottenham Hotspur - Borussia Dortmund 3:0,Europe. UEFA Champions League,2019-02-13,0,0,3,1.81,6,3,2,0,0,0,0,0,0,6
Borussia Dortmund - Hoffenheim 3:3,Germany. Bundesliga,2019-02-09,3,3,3,2.15,6,3,3,3,0,1,0,0,0,6
Eintracht Frankfurt - Borussia Dortmund 1:1,Germany. Bundesliga,2019-02-02,1,1,1,1.25,6,5,3,1,0,0,0,0,0,9
Borussia Dortmund - Hannover 96 5:1,Germany. Bundesliga,2019-01-26,0,0,1,1.24,4,3,1,2,0,1,0,0,0,5
RB Leipzig - Borussia Dortmund 0:1,Germany. Bundesliga,2019-01-19,0,0,0,1.53,5,5,3,3,0,2,1,0,0,12
Borussia Dortmund - Feyenoord 2:1,World. Club Friendlies,2019-01-11,0,0,1,2.37,7,6,4,1,0,1,0,0,0,10
Borussia Dortmund - Borussia M'gladbach 2:1,Germany. Bundesliga,2018-12-21,0,0,1,0.26,2,1,0,0,0,0,0,0,0,7
Fortuna Düsseldorf - Borussia Dortmund 2:1,Germany. Bundesliga,2018-12-18,0,0,2,1.14,5,3,1,0,0,0,0,0,0,6
Borussia Dortmund - Werder Bremen 2:1,Germany. Bundesliga,2018-12-15,1,1,1,0.41,4,3,1,2,0,2,0,0,0,4
Schalke 04 - Borussia Dortmund 1:2,Germany. Bundesliga,2018-12-08,0,0,1,1.68,3,2,1,0,0,0,0,0,0,5
Borussia Dortmund - Freiburg 2:0,Germany. Bundesliga,2018-12-01,0,0,0,0.02,1,1,0,1,0,0,0,0,0,3
Borussia Dortmund - Club Brugge 0:0,Europe. UEFA Champions League,2018-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mainz 05 - Borussia Dortmund 1:2,Germany. Bundesliga,2018-11-24,0,0,1,0.67,7,6,2,0,0,0,0,0,0,6
Atlético Madrid - Borussia Dortmund 2:0,Europe. UEFA Champions League,2018-11-06,0,0,2,1.77,8,6,3,0,0,0,0,0,0,7
Wolfsburg - Borussia Dortmund 0:1,Germany. Bundesliga,2018-11-03,1,1,0,0.07,2,2,1,1,0,0,1,0,0,9
Borussia Dortmund - Hertha BSC 2:2,Germany. Bundesliga,2018-10-27,2,1,2,2.48,5,3,3,2,0,0,1,0,0,7
Borussia Dortmund - Atlético Madrid 4:0,Europe. UEFA Champions League,2018-10-24,0,0,0,0.31,2,2,1,1,0,1,0,0,0,7
Stuttgart - Borussia Dortmund 0:4,Germany. Bundesliga,2018-10-20,0,0,0,1.86,6,6,4,1,0,1,0,0,0,10
Borussia Dortmund - Augsburg 4:3,Germany. Bundesliga,2018-10-06,1,1,3,2.61,5,2,2,1,0,0,0,0,0,1
Borussia Dortmund - Monaco 3:0,Europe. UEFA Champions League,2018-10-03,0,0,0,0.94,4,4,0,0,0,0,0,0,0,5
Bayer Leverkusen - Borussia Dortmund 2:4,Germany. Bundesliga,2018-09-29,1,1,2,2.11,6,4,3,2,0,1,1,0,0,3
Borussia Dortmund - Nürnberg 7:0,Germany. Bundesliga,2018-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hoffenheim - Borussia Dortmund 1:1,Germany. Bundesliga,2018-09-22,0,0,1,1.44,6,5,5,2,0,2,0,0,0,8
Club Brugge - Borussia Dortmund 0:1,Europe. UEFA Champions League,2018-09-18,0,0,0,0.83,3,3,2,3,0,1,1,0,0,8
Borussia Dortmund - Eintracht Frankfurt 3:1,Germany. Bundesliga,2018-09-14,0,0,1,0.88,2,1,0,0,0,0,0,0,0,3
Hannover 96 - Borussia Dortmund 0:0,Germany. Bundesliga,2018-08-31,0,0,0,0,0,0,0,3,0,3,0,0,0,7
Borussia Dortmund - RB Leipzig 4:1,Germany. Bundesliga,2018-08-26,1,0,1,1.83,7,6,4,1,0,0,1,0,0,18
Greuther Fürth - Borussia Dortmund 1:2 (E),Germany. DFB Pokal,2018-08-20,0,0,1,1.28,6,5,2,1,0,0,0,0,0,7
Borussia Dortmund - Lazio 1:0,World. Club Friendlies,2018-08-12,0,0,0,1.2,3,3,0,1,0,1,0,0,0,8
Borussia Dortmund - Napoli 1:3,World. Club Friendlies,2018-08-07,0,0,3,1.65,4,1,1,1,0,0,0,0,0,6
Borussia Dortmund - Rennes 1:1,World. Club Friendlies,2018-08-03,0,0,1,2.71,4,3,2,3,0,3,0,0,0,5
Switzerland - Japan 2:0,World. Friendlies,2018-06-08,1,1,0,0.27,5,5,0,3,0,1,2,0,0,6
Hoffenheim - Borussia Dortmund 3:1,Germany. Bundesliga,2018-05-12,0,0,3,1.87,9,6,3,3,0,1,1,0,0,4
Borussia Dortmund - Mainz 05 1:2,Germany. Bundesliga,2018-05-05,0,0,2,1.94,5,3,1,1,0,0,1,0,0,2
Werder Bremen - Borussia Dortmund 1:1,Germany. Bundesliga,2018-04-29,0,0,1,1.35,5,4,2,1,0,1,0,0,0,10
Borussia Dortmund - Bayer Leverkusen 4:0,Germany. Bundesliga,2018-04-21,1,1,0,0.48,4,4,2,4,0,2,1,0,0,7
Schalke 04 - Borussia Dortmund 2:0,Germany. Bundesliga,2018-04-15,0,0,2,1.01,3,1,0,0,0,0,0,0,0,12
Borussia Dortmund - Stuttgart 3:0,Germany. Bundesliga,2018-04-08,0,0,0,0,0,0,0,1,0,1,0,0,0,12
Bayern München - Borussia Dortmund 6:0,Germany. Bundesliga,2018-03-31,0,0,6,4.09,8,2,0,0,0,0,0,0,0,6
Switzerland - Panama 6:0,World. Friendlies,2018-03-27,0,0,0,0.16,2,2,0,1,0,1,0,0,0,2
Borussia Dortmund - Hannover 96 1:0,Germany. Bundesliga,2018-03-18,0,0,0,0.62,4,4,2,1,0,1,0,0,0,6
Salzburg - Borussia Dortmund 0:0,Europe. UEFA Europa League,2018-03-15,1,1,0,0.75,5,5,3,4,0,3,1,1,1,9
Borussia Dortmund - Eintracht Frankfurt 3:2,Germany. Bundesliga,2018-03-11,1,1,2,1.86,3,1,1,4,0,2,0,0,0,11
Borussia Dortmund - Salzburg 1:2,Europe. UEFA Europa League,2018-03-08,0,0,2,2.51,6,4,3,1,0,1,0,0,0,8
RB Leipzig - Borussia Dortmund 1:1,Germany. Bundesliga,2018-03-03,0,0,1,1.41,3,2,1,1,0,1,0,0,0,6
Borussia Dortmund - Augsburg 1:1,Germany. Bundesliga,2018-02-26,0,0,1,1.78,6,5,3,0,0,0,0,0,0,6
Atalanta - Borussia Dortmund 1:1,Europe. UEFA Europa League,2018-02-22,1,0,1,1.25,2,1,1,2,0,1,1,0,0,10
Borussia M'gladbach - Borussia Dortmund 0:1,Germany. Bundesliga,2018-02-18,0,0,0,3.22,11,11,7,1,0,1,0,0,0,12
Borussia Dortmund - Atalanta 3:2,Europe. UEFA Europa League,2018-02-15,0,0,2,1.74,3,1,1,1,0,1,0,0,0,7
Borussia Dortmund - Hamburger SV 2:0,Germany. Bundesliga,2018-02-10,1,1,0,0.04,1,1,0,2,0,2,0,0,0,14
Köln - Borussia Dortmund 2:3,Germany. Bundesliga,2018-02-02,0,0,2,2.7,5,3,2,4,0,1,1,0,0,8
Borussia Dortmund - Freiburg 2:2,Germany. Bundesliga,2018-01-27,1,1,2,1.08,3,1,1,1,0,0,1,0,0,3
Hertha BSC - Borussia Dortmund 1:1,Germany. Bundesliga,2018-01-19,0,0,1,0.65,2,1,0,1,0,1,0,0,0,7
Borussia Dortmund - Wolfsburg 0:0,Germany. Bundesliga,2018-01-14,0,0,0,0.8,4,4,2,4,0,2,0,0,0,5
Bayern München - Borussia Dortmund 2:1,Germany. DFB Pokal,2017-12-20,0,0,2,1.95,7,5,5,1,0,1,0,0,0,6
Borussia Dortmund - Hoffenheim 2:1,Germany. Bundesliga,2017-12-16,0,0,1,1.46,5,4,3,2,0,2,0,0,0,9
Mainz 05 - Borussia Dortmund 0:2,Germany. Bundesliga,2017-12-12,1,1,0,0.14,1,1,1,1,0,1,0,0,0,14
Borussia Dortmund - Werder Bremen 1:2,Germany. Bundesliga,2017-12-09,0,0,2,0.88,4,2,0,0,0,0,0,0,0,7
Real Madrid - Borussia Dortmund 3:2,Europe. UEFA Champions League,2017-12-06,1,1,3,2.69,11,8,1,2,0,0,1,0,0,11
Bayer Leverkusen - Borussia Dortmund 1:1,Germany. Bundesliga,2017-12-02,0,0,1,1.66,9,8,4,2,0,2,0,0,0,3
Borussia Dortmund - Tottenham Hotspur 1:2,Europe. UEFA Champions League,2017-11-21,0,0,2,1.29,6,4,3,3,0,2,0,0,0,5
